id,cipher,title,description,link,skills,published_date,job_type,is_hourly,hourly_low,hourly_high,budget,duration_weeks,contractor_tier,scraped_at,last_seen
93009,~022047713120108492953,Marathon Website SEO Rebuild,"Marathon Cleaning is a family owned commercial cleaning company that has been in service for over 40 years, we are currently ranking very poorly in searches for commercial cleaning in the Greater Toronto Area (Areas in and around Toronto). I am looking for someone to give my website an SEO audit and rebuild the on-page and back link SEO, or whatever the website needs to rank higher. I am also interested in some landing pages and other ways to boost GEO, I am happy with the design of the website and feel only a few improvements are need upon your suggestion. Pre-covid the website would generate enough leads to keep the business growing, this has not been the case since then.",https://www.upwork.com/jobs/~022047713120108492953,"{""SEO Backlinking"",""SEO Keyword Research"",""SEO Audit"",""SEO Strategy"",""SEO Writing"",""On-Page SEO"",Ahrefs,""Search Engine Optimization"",""Technical SEO"",""Local SEO"",""Surfer SEO"",Marketing,""SEO Competitor Analysis"",""SEO Content"",""Backlink Analysis""}",2026-04-24 16:28:12.967+00,HOURLY,t,,,,3,ExpertLevel,2026-04-24 16:30:12.80952+00,2026-04-24 16:39:48.707772+00
93007,~022047713412769833621,Create a Brand Identity Guide from Existing Figma Files,"I am looking for a detail-oriented designer to create a comprehensive Brand Identity Packet or Brand Guide for our telemedicine platform, SleepScriptMD.com. 

Please read carefully: There is absolutely no need for any new design changes, rebranding, or creative conceptualization. The visual identity is already fully established. Your job is simply to take our existing design concepts and document them into a clear, professional brand guide.

I will provide 3 Figma files that contain our current website pages and UI designs. 

Your deliverables should include a polished brand guide that extracts and clearly outlines the following from the provided Figma files:

Color palette with specific hex codes and usage rules
Typography guidelines including font families, weights, and sizes for all headings and body text

Logo usage rules and clearances
Standard UI elements like button styles, forms, and spacing
General visual tone based on the provided files

The ideal freelancer has strong attention to detail, experience creating clean and easy-to-read brand documentation. 

If you are interested, please reply with examples of your work and a price for this quick project.",https://www.upwork.com/jobs/~022047713412769833621,"{""Branding Template"",""Graphic Design"",""Brand Guidelines""}",2026-04-24 16:28:45.847+00,HOURLY,t,,,,3,ExpertLevel,2026-04-24 16:30:12.80952+00,2026-04-24 16:45:53.896599+00
93014,~022047713231303271061,Organic Growth Expert (Spanish-Speaking) – Build from 0 to 100K Audience (No Paid Ads),"I’m looking for a high-level, Spanish-speaking growth expert to build and scale a massive organic audience (0 → 100,000+) across Meta platforms (Facebook, Instagram, WhatsApp)—without paid ads.

This is a performance-driven role. I need someone who can design and execute a winning organic system that turns content into followers, trust, leads, and sales. We sell 2 core digital products through an existing funnel, and I’m actively producing 15 Shorts per week to fuel growth.

MY REAL STORY:
I lost my job when I was almost 50 years old. Instead of going back to the same cycle, I built financial independence through a small portfolio of properties in the U.S. Now I teach others—especially people in LATAM and U.S. Hispanics—how to do the same and generate income in dollars.
TARGET:
Spanish-speaking (LATAM + U.S. Hispanics)
Age: 40–80 years old Interested in: Financial security, Investing in the U.S. -buy real estate and renting it-, Earning income in dollars from their own country.
YOU WILL BE RESPONSIBLE FOR:
Organic Growth System (CORE)
Build and execute a repeatable, scalable organic growth system
Grow accounts from 0 → 100,000+ followers
Turn content into consistent traffic, leads, and community
Content Distribution & Optimization
Repurpose and distribute 15 Shorts/week across:
Facebook Reels
Instagram Reels
Optimize hooks, captions, and posting strategy for maximum reach
WhatsApp Funnel Integration
Drive traffic into WhatsApp conversations
Implement comment triggers, CTAs, and messaging flows
Turn engagement into qualified leads
Performance & Iteration
Identify what’s working and double down fast
Kill what’s not working
Improve CTR, retention, and engagement organically
REQUIREMENTS:
Native or fluent Spanish speaker (REQUIRED)
Proven experience growing accounts organically from scratch
Deep understanding of:
Meta algorithms (Facebook & Instagram)
Viral hooks and retention strategies
Audience psychology (especially 40–80 Spanish-speaking demographic)
Up to date with:
Organic growth tactics
Platform changes and trends

ARE YOU?...
Independent (you bring solutions, not problems)
Strategic (you think in systems, not random posts)
Creative (you know what stops the scroll)
Reliable (you execute consistently)",https://www.upwork.com/jobs/~022047713231303271061,"{""Influencer Marketing"",""Finance & Accounting"",Education,""Real Estate"",Facebook,Instagram,""Social Media Marketing"",""Social Media Management"",""Marketing Strategy""}",2026-04-24 16:26:33.865+00,FIXED,f,,,200,18,IntermediateLevel,2026-04-24 16:30:12.80952+00,2026-04-24 16:45:53.896599+00
92703,~022047711494021446234,WordPress Website Redesign & Optimization for Coaching Business (SEO + Integrations),"WordPress Website Redesign & Optimization for Coaching Business (SEO + Integrations)
Background

I currently have an existing WordPress website for my coaching business, but it is not performing effectively in terms of search visibility, user experience, or conversion.
I am looking for an experienced WordPress designer/developer to refine, redesign, and optimize my existing site, using updated copy, improved structure, and a stronger client journey.

This is not a basic refresh. I want to transform the site into a conversion-focused, SEO-optimized client acquisition tool. This is key.

Current State
•	The website is live, but outdated in structure and performance and some functions not working properly.
•	The messaging and positioning have been updated (new copy will be provided).
•	The site does not currently rank in search results.
•	Client flow (discovery → booking → payment) is currently not optimized.

Project Goals
•	Improve SEO visibility (Google search presence).
•	Create a clean, modern, professional design consistent with branding.
•	Build a clear client journey from landing to booking/payment.
•	Ensure the site is easy for me to update independently.
Scope of Work
•	Review and improve the existing WordPress site structure.
•	Implement new copy and page layouts (provided).
•	Redesign key pages for clarity and conversion.
•	Optimize mobile responsiveness and site speed.
•	Clean up or remove unnecessary plugins/components if needed

Core Pages To Update
•	Home
•	Work With Me (Services)
•	Resume Writing Services
•	About
•	Contact
•	Optional: Blog / Resources

Required Integrations
•	CRM and scheduling via Paperbell
•	Payment processing via Square
•	Lead capture (form integration)

SEO Requirements
I am specifically looking for someone who understands SEO beyond basic plugin setup.

This includes:
•	Keyword-informed page structure
•	Optimization of:
o	Page titles and meta descriptions
o	Header tags (H1, H2, H3)
o	Internal linking
•	SEO-friendly URLs
•	Site speed optimization
•	XML sitemap setup
•	Indexing via Google Search Console
•	Setup of Google Analytics

Key Functionality
•	Clear client journey:

Visitor → Service Page → Booking → Payment
•	Embedded scheduling and/or service purchase
•	Lead capture (consultation or downloadable resource)
•	Easy backend editing (Elementor or similar preferred)

Design Direction
•	Clean, modern, professional
•	Strong use of whitespace
•	Trust-building (career coaching audience)
•	Not overly corporate—approachable and human

Deliverables
•	Fully optimized and redesigned WordPress site
•	All integrations functioning properly
•	SEO foundation implemented
•	Mobile and tablet optimized
•	Editable by me post-launch
•	Basic walkthrough or training

Ideal Experience
•	WordPress redesigns (not just new builds)
•	SEO optimization experience
•	Coaching / service-based business websites
•	Experience with client journey and conversion flow

Final Note
I am not looking for just a visual refresh.
I’m looking for an ongoing partner who can help transform my existing website into a platform that:
•	Gets found (SEO)
•	Builds trust
•	Converts visitors into clients
•	Can help my site evolve as more revenue streams are added",https://www.upwork.com/jobs/~022047711494021446234,"{""Search Engine Optimization"",""Website Redesign"",WordPress,""Lead Generation"",""Google Analytics""}",2026-04-24 16:20:10.016+00,FIXED,f,,,1500,9,IntermediateLevel,2026-04-24 16:21:00.914979+00,2026-04-24 16:45:53.896599+00
92704,~022047666852625230488,Database and Client Support Associate,"Small nonprofit-serving consulting firm looking for a Database and Client Support Associate to join our growing team. This is the person who gets quietly excited about clean data. You will spend your time inside donor databases, pulling reports, merging duplicates, building segments, and turning messy CRMs into calm, usable tools our clients can actually trust. It is the kind of work that looks invisible from the outside but holds everything else up.

What You Will Do
-Manage and maintain client CRM systems, primarily Bloomerang
-Run data cleanups, duplicate merges, and ongoing hygiene audits
-Pull reports and build dashboards that help clients make confident decisions
-Conduct prospect research and support wealth screening (DonorSearch and similar)
-Set up moves management fields, tags, custom workflows, and automations
-Build segmented lists for appeals, newsletters, and stewardship touches
-Document processes so clients walk away with systems they actually own
-Support additional client projects as scope grows

Who You Are
-Experienced in Bloomerang (required) and comfortable navigating other donor CRMs like Keela, Little Green Light, DonorPerfect, or GiveButter
-Data-fluent: exports, formulas, and messy spreadsheets do not rattle you
-Detail-oriented without being precious about it
-A clear written communicator who can translate technical work into plain language for clients
-Self-directed, deadline-aware, and steady when things get noisy
-Genuinely invested in the nonprofit sector and the people doing the work

What This Role Looks Like
-Part-time, starting at roughly 40 hours per month
-Flexible schedule. You choose when the work gets done, as long as deadlines are met
-Fully remote
-Strong potential to grow in hours and scope as Sprout expands
-Hourly compensation based on experience",https://www.upwork.com/jobs/~022047666852625230488,"{""CRM Software"",""Administrative Support"",""Customer Support"",""Microsoft Excel"",Bloomerang,Airtable,Nonprofit}",2026-04-24 16:19:58.803+00,HOURLY,t,30,45,,52,ExpertLevel,2026-04-24 16:21:00.914979+00,2026-04-24 16:45:53.896599+00
